vdom,id,dst,gateway,device,comment,status
root,2,10.8.150.0 255.255.255.224,10.8.148.1,mgmt2,,
root,3,10.164.1.251 255.255.255.255,10.8.148.1,mgmt2,,
CT901NM,1,10.8.148.0 255.255.255.0,10.90.1.70,I_NM.3135,,
CT901NM,2,10.163.245.0 255.255.255.0,10.90.1.62,I_DEVMGT.3134,DEVMGT source code,
CT901NM,3,10.64.24.0 255.255.255.0,10.90.2.94,E_NMC.3219,NMC,
CT901NM,4,10.164.1.0 255.255.255.0,10.90.2.94,E_NMC.3219,NMC,
CT901NM,5,10.8.150.7 255.255.255.255,10.90.1.70,I_NM.3135,,
CT901NM,6,10.18.109.0 255.255.255.0,10.90.2.94,E_NMC.3219,NMC,
CT901NM,7,10.63.142.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,8,10.163.143.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,9,10.164.11.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,10,10.164.12.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,11,10.164.129.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,12,10.164.139.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,13,10.164.140.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,14,10.164.141.0 255.255.255.0,10.90.2.94,E_NMC.3219,,
CT901NM,15,10.70.144.0 255.255.255.0,10.90.3.182,I.HSN.NM.3120,,
CT901NM,16,10.70.126.0 255.255.255.0,10.90.3.182,I.HSN.NM.3120,,
CT901NM,17,192.168.0.0 255.255.0.0,10.90.2.94,E_NMC.3219,,
CT901CASH1,1,10.1.93.0 255.255.255.0,10.90.3.62,I_CASH.3111,"Spine EVRCASH OCG-EP, VL101",
CT901CASH1,2,10.1.90.0 255.255.255.0,10.90.3.62,I_CASH.3111,"Spine EVRCASH OMDC-RTS, VL102",
CT901CASH1,3,10.1.89.0 255.255.255.0,10.90.3.62,I_CASH.3111,"Spine EVRCASH OMDC-SH, VL103",
CT901CASH1,5,10.1.95.0 255.255.255.0,10.90.1.166,E_OCG.3205,"Spine EVRCASHMGT OCG-MGT, VL302",
CT901CASH1,6,10.1.88.0 255.255.255.0,10.90.3.62,I_CASH.3111,"Spine EVRCASHMGT OMDC-MGT, VL303",
CT901CASH1,7,10.90.10.0 255.255.254.0,10.90.1.22,I_CASHMGT.3131,"Spine EVRCASHMGT OTPC-MGT, VL304",
CT901CASH1,8,10.70.12.0 255.255.255.0,10.90.1.166,E_OCG.3205,"Spine EVRTOF TOF-APP, VL701",disable
CT901CASH1,10,10.63.125.0 255.255.255.0,10.90.2.6,E_DEV_CIAN.3209,DEV IAN ESQ 6/F,
CT901CASH1,14,10.164.1.0 255.255.255.0,10.90.1.150,E_NMC.3202,BB NMC VR,
