vdom,id,dst,gateway,device,comment,status
root,1,10.8.150.32 255.255.255.224,10.8.148.1,mgmt2,WTT KTOC,
root,2,10.8.150.64 255.255.255.224,10.8.148.1,mgmt2,WTT TWOC,
root,3,10.8.132.0 255.255.255.192,10.8.148.1,mgmt2,WTT KTOC,
root,4,10.8.132.64 255.255.255.192,10.8.148.1,mgmt2,WTT TWOC,
root,5,10.90.1.64 255.255.255.248,10.8.148.1,mgmt2,,
CT03CASH2,1,10.1.93.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OCG-EP,v1101",
CT03CASH2,3,10.1.89.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OMDC-SH,v1103",
CT03CASH2,4,10.1.91.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OMDC-BP,v1104",
CT03CASH2,5,10.1.95.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OCG-MGT,v1302",
CT03CASH2,6,10.1.88.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OMDC-MGT,v1303",
CT03CASH2,7,10.90.30.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OCG-MGT2,,v1306",
CT03CASH2,16,10.1.83.0 255.255.255.0,10.90.3.46,I_OMC.3106,"Spine OMC-UC ,v1403",
CT03CASH2,17,10.140.128.0 255.255.192.0,10.19.17.46,WAN_OCG.672,"WAN_OCG_W3,v672",
CT03CASH2,18,10.143.128.0 255.255.192.0,10.19.17.46,WAN_OCG.672,"WAN_OCG_W3,v672",
CT03CASH2,19,10.140.192.0 255.255.192.0,10.19.17.62,WAN_OCG.673,"WAN_OCG_W4,v673",
CT03CASH2,20,10.143.192.0 255.255.192.0,10.19.17.62,WAN_OCG.673,"WAN_OCG_W4,v673",
CT03CASH2,21,10.138.128.0 255.255.192.0,10.19.17.110,WAN_OCG.676,WAN_OCG_P3.v676,
CT03CASH2,22,10.141.128.0 255.255.192.0,10.19.17.110,WAN_OCG.676,WAN_OCG_P3.v676,
CT03CASH2,23,10.142.128.0 255.255.192.0,10.19.17.110,WAN_OCG.676,WAN_OCG_P3.v676,
CT03CASH2,24,10.138.192.0 255.255.192.0,10.19.17.126,WAN_OCG.677,"WAN_OCG_P4,v677",
CT03CASH2,25,10.141.192.0 255.255.192.0,10.19.17.126,WAN_OCG.677,"WAN_OCG_P4,v677",
CT03CASH2,26,10.142.192.0 255.255.192.0,10.19.17.126,WAN_OCG.677,"WAN_OCG_P4,v677",
CT03CASH2,27,10.139.128.0 255.255.192.0,10.19.17.174,WAN_OCG.680,"WAN_OCG_H3,v680",
CT03CASH2,28,10.139.192.0 255.255.192.0,10.19.17.190,WAN_OCG.681,"WAN_OCG_H4,v681",
CT03CASH2,29,10.56.128.0 255.255.192.0,10.19.15.174,WAN_OMDC.610,"WAN_OMDC_H3,v610",
CT03CASH2,30,10.57.192.0 255.255.192.0,10.19.15.62,WAN_OMDC.603,"WAN_OMDC_W4,v603",
CT03CASH2,31,10.57.128.0 255.255.192.0,10.19.15.46,WAN_OMDC.602,"WAN_OMDC_W3,v602",
CT03CASH2,32,10.55.192.0 255.255.192.0,10.19.15.126,WAN_OMDC.607,"WAN_OMDC_P4,v607",
CT03CASH2,33,10.55.128.0 255.255.192.0,10.19.15.110,WAN_OMDC.606,"WAN_OMDC_P3,v606",
CT03CASH2,34,10.56.192.0 255.255.192.0,10.19.15.190,WAN_OMDC.611,"WAN_OMDC_H4,v611",
CT03CASH2,35,10.1.90.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OMDC-RTS,v1102",
CT03CASH2,36,10.2.90.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OMDC-RTS, PCCWT",
CT03CASH2,37,10.1.96.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OCG-MGT,v1302",
CT03CASH2,38,10.2.95.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OCG-MGT,v1302",
CT03CASH2,39,10.2.96.0 255.255.255.0,10.90.3.70,I_CASH.3112,"Spine CASH OCG-MGT,v1302",
CT03CASH2,46,10.164.1.0 255.255.255.0,10.90.1.150,E_NMC.3202,,
CT03CASH2,47,10.164.129.0 255.255.255.0,10.90.1.150,E_NMC.3202,,
CT03CASH2,48,10.63.142.0 255.255.255.0,10.90.1.150,E_NMC.3202,,
CT03CASH2,49,10.163.143.0 255.255.255.0,10.90.1.150,E_NMC.3202,,
CT03CASH2,50,10.164.130.0 255.255.255.0,10.90.1.150,E_NMC.3202,,
CT03CASH2,51,192.168.0.0 255.255.0.0,10.90.1.142,E_UCN.3201,,
CT03CASH2,52,10.1.150.0 255.255.255.0,10.90.2.30,E_SMARTS.3211,,
CT03CASH2,53,10.63.107.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,54,10.3.12.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,55,10.3.11.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,56,10.3.19.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,57,10.4.51.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,58,10.3.21.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,59,10.3.22.0 255.255.255.0,10.1.87.174,E_TOF2.461,,
CT03CASH2,60,10.3.29.0 255.255.255.0,10.70.17.14,E_TOF1.351,,
CT03CASH2,61,159.220.180.66 255.255.255.255,10.1.87.174,E_TOF2.461,,
