vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,action,schedule,service,utm-status,logtraffic,ips-sensor,nat,ippool,poolname,comments,status,capture-packet,auto-asic-offload
CT03CASH2,338,OCG to WAN OCG ping (Src NAT),da6e8134-744e-51e7-847c-a611417faa5a,I.CASH.Trust2,W.OCG.T3T4,Host_10.1.93.231,NetGp_OCG_WAN,accept,always,PING,enable,all,otpc-all,,,,,,,
CT03CASH2,339,CMPC PING WAN,0d762956-744f-51e7-31d3-405d292ff717,I.CASH.Trust2,W.OCG.T3T4,Host_10.1.93.51,NetGp_OCG_WAN,accept,always,ICMP/PING TCP/50001-50100,enable,all,otpc-all,,,,,,,
CT03CASH2,371,STAT SERVER to SH(SrcNAT),e490561c-84f0-51e7-0dd1-36be4515255c,I.CASH.Trust2,W.OCG.T3T4,Host_10.1.94.114,Net_10.141.245.0,accept,always,ICMP/PING PORT_FTPS FTP_GET FTP_PUT PORT_FTP_DATA,enable,all,otpc-all,enable,enable,Srcnat_10.1.94.114-10.1.93.10,,,,
CT03CASH2,1,TOF NTP1,300785f0-7a2c-51e6-c766-8d8c4cb266d5,I.TOFAPP,E.NMC,Net_10.70.12.0 Net_10.70.13.0 Net_10.70.16.0 Net_10.70.22.0,NetGp_TimeServer,accept,always,PORT_NTP PING,enable,all,otpc-all,,,,"SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;1,6;2017_0715",,,
CT03CASH2,2,TOF NTP2,2c54af0e-6717-51e7-3646-9c5402ecf375,I.SATWEB,E.NMC,Net_10.70.15.0,NetGp_TimeServer,accept,always,PORT_NTP PING,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;1;2017_0715,,,
CT03CASH2,3,TOF VC1,2c760014-6717-51e7-2f54-f2a1658eaef8,I.TOFAPP,E.NMC,Net_10.70.13.0,Net_10.163.143.0 Net_10.63.142.0,accept,always,PORT_NMC_VC PING,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;2;2017_0715,,,
CT03CASH2,4,TOF BMC1,2c975188-6717-51e7-a72d-55664aa4f597,I.TOFAPP,E.NMC,Net_10.70.13.0,Range_10.164.1.8-9 Host_10.164.129.8,accept,always,PORT_SNMP PORT_BMC,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;3-4;2017_0715,,,
CT03CASH2,5,TOF BMC2,2cb8a5fe-6717-51e7-14b3-fbe8b5e8e82e,I.SATWEB,E.NMC,Net_10.70.15.0,Range_10.164.1.8-9 Host_10.164.129.8,accept,always,PORT_SNMP PORT_BMC,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;3-4;2017_0715,,,
CT03CASH2,6,TOF Networker1,2cd9f7b8-6717-51e7-1fe3-62a1ee5052c9,I.TOFAPP,E.NMC,Net_10.70.13.0,NetGp_Networker,accept,always,PORT_Networker,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;5;2017_0715,,,
CT03CASH2,7,TOF Networker2,2cfb4a9e-6717-51e7-6f38-54bccb9f39a4,I.SATWEB,E.NMC,Net_10.70.15.0,NetGp_Networker,accept,always,PORT_Networker,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;5;2017_0715,,,
CT03CASH2,8,TOF Stat Networker,2d1c99d8-6717-51e7-3b70-60e343677145,E.TOF1,E.NMC,Host_10.65.69.3,NetGp_Networker,accept,always,PORT_Networker,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;10;2017_0715,,,
CT03CASH2,9,TOF Timeserver,2d3dec50-6717-51e7-da3c-1af3eb7f000b,E.TOF1,E.NMC,Host_10.65.69.3 NetGp_AMS_IAN_SW,NetGp_TimeServer,accept,always,PORT_NTP PING,enable,all,otpc-all,,,,SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;11;2017_0715,,,
CT03CASH2,10,TOF ORSYP,2d5f41fc-6717-51e7-29fd-3604bc73d959,I.TOFAPP,E.NMC,Net_10.70.13.0 Net_10.70.16.0,Host_10.164.1.23 Host_10.164.130.23 NetGp_ORSYP_Consoles Host_10.164.1.51 Host_10.164.130.51,accept,always,PORT_ORSYP_Agents PING PORT_ORSYP_Agents_TOF,enable,all,otpc-all,,,,"SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;12,15;2017_0715",,,
CT03CASH2,11,TOF ORSYP1,2d8094ba-6717-51e7-29da-bdb5c3cc9ea7,I.SATWEB,E.NMC,Net_10.70.15.0,NetGp_ORSYP_Consoles,accept,always,PORT_ORSYP_Server PORT_ORSYP_Agents PING,enable,all,otpc-all,,,,"SDTF04;NMC2TOF-Trust;NMC2NMC-Trust;12,14;2017_0715",,,
