vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy
root,ALL,General,IP,,,,,,
root,ALL_TCP,General,,1-65535,,,,,
root,ALL_UDP,General,,,1-65535,,,,
root,ALL_ICMP,General,ICMP,,,,,,
root,ALL_ICMP6,General,ICMP6,,,,,,
root,GRE,Tunneling,IP,,,47,,,
root,AH,Tunneling,IP,,,51,,,
root,ESP,Tunneling,IP,,,50,,,
root,AOL,,,5190-5194,,,disable,,
root,BGP,Network Services,,179,,,,,
root,DHCP,Network Services,,,67-68,,,,
root,DNS,Network Services,,53,53,,,,
root,FINGER,,,79,,,disable,,
root,FTP,File Access,,21,,,,,
root,FTP_GET,File Access,,21,,,,,
root,FTP_PUT,File Access,,21,,,,,
root,GOPHER,,,70,,,disable,,
root,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
root,HTTP,Web Access,,80,,,,,
root,HTTPS,Web Access,,443,,,,,
root,IKE,Tunneling,,,500 4500,,,,
root,IMAP,Email,,143,,,,,
root,IMAPS,Email,,993,,,,,
root,Internet-Locator-Service,,,389,,,disable,,
root,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
root,L2TP,Tunneling,,1701,1701,,,,
root,LDAP,Authentication,,389,,,,,
root,NetMeeting,,,1720,,,disable,,
root,NFS,File Access,,111 2049,111 2049,,,,
root,NNTP,,,119,,,disable,,
root,NTP,Network Services,,123,123,,,,
root,OSPF,Network Services,IP,,,89,,,
root,PC-Anywhere,Remote Access,,5631,5632,,,,
root,PING,Network Services,ICMP,,,,,8,
root,TIMESTAMP,,ICMP,,,,disable,13,
root,INFO_REQUEST,,ICMP,,,,disable,15,
root,INFO_ADDRESS,,ICMP,,,,disable,17,
root,ONC-RPC,Remote Access,,111,111,,,,
root,DCE-RPC,Remote Access,,135,135,,,,
root,POP3,Email,,110,,,,,
root,POP3S,Email,,995,,,,,
root,PPTP,Tunneling,,1723,,,,,
root,QUAKE,,,,26000 27000 27910 27960,,disable,,
root,RAUDIO,,,,7070,,disable,,
root,REXEC,,,512,,,disable,,
root,RIP,Network Services,,,520,,,,
root,RLOGIN,,,513:512-1023,,,disable,,
root,RSH,,,514:512-1023,,,disable,,
root,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
root,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
root,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
root,SAMBA,File Access,,139,,,,,
root,SMTP,Email,,25,,,,,
root,SMTPS,Email,,465,,,,,
root,SNMP,Network Services,,161-162,161-162,,,,
root,SSH,Remote Access,,22,,,,,
root,SYSLOG,Network Services,,,514,,,,
root,TALK,,,,517-518,,disable,,
root,TELNET,Remote Access,,23,,,,,
root,TFTP,File Access,,,69,,,,
root,MGCP,,,,2427 2727,,disable,,
root,UUCP,,,540,,,disable,,
root,VDOLIVE,,,7000-7010,,,disable,,
root,WAIS,,,210,,,disable,,
root,WINFRAME,,,1494 2598,,,disable,,
root,X-WINDOWS,Remote Access,,6000-6063,,,,,
root,PING6,,ICMP6,,,,disable,128,
root,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
root,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
root,RDP,Remote Access,,3389,,,,,
root,VNC,Remote Access,,5900,,,,,
root,DHCP6,Network Services,,,546 547,,,,
root,SQUID,Tunneling,,3128,,,,,
root,SOCKS,Tunneling,,1080,1080,,,,
root,WINS,Remote Access,,1512,1512,,,,
root,RADIUS,Authentication,,,1812 1813,,,,
root,RADIUS-OLD,,,,1645 1646,,disable,,
root,CVSPSERVER,,,2401,2401,,disable,,
root,AFS3,File Access,,7000-7009,7000-7009,,,,
root,TRACEROUTE,Network Services,,,33434-33535,,,,
root,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
root,MMS,,,1755,1024-5000,,disable,,
root,KERBEROS,Authentication,,88 464,88 464,,,,
root,LDAP_UDP,Authentication,,,389,,,,
root,SMB,File Access,,445,,,,,
root,NONE,,,0,,,disable,,
root,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
CP03OTPC,ALL,General,IP,,,,,,
CP03OTPC,ALL_TCP,General,,1-65535,,,,,
CP03OTPC,ALL_UDP,General,,,1-65535,,,,
CP03OTPC,ALL_ICMP,General,ICMP,,,,,,
CP03OTPC,ALL_ICMP6,General,ICMP6,,,,,,
CP03OTPC,GRE,Tunneling,IP,,,47,,,
CP03OTPC,AH,Tunneling,IP,,,51,,,
CP03OTPC,ESP,Tunneling,IP,,,50,,,
CP03OTPC,AOL,,,5190-5194,,,disable,,
CP03OTPC,BGP,Network Services,,179,,,,,
CP03OTPC,DHCP,Network Services,,,67-68,,,,
CP03OTPC,DNS,Network Services,,53,53,,,,
CP03OTPC,FINGER,,,79,,,disable,,
CP03OTPC,FTP,File Access,,21,,,,,
CP03OTPC,FTP_GET,File Access,,21,,,,,
CP03OTPC,FTP_PUT,File Access,,21,,,,,
CP03OTPC,GOPHER,,,70,,,disable,,
CP03OTPC,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
CP03OTPC,HTTP,Web Access,,80,,,,,
CP03OTPC,HTTPS,Web Access,,443,,,,,
CP03OTPC,IKE,Tunneling,,,500 4500,,,,
CP03OTPC,IMAP,Email,,143,,,,,
CP03OTPC,IMAPS,Email,,993,,,,,
CP03OTPC,Internet-Locator-Service,,,389,,,disable,,
CP03OTPC,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
CP03OTPC,L2TP,Tunneling,,1701,1701,,,,
CP03OTPC,LDAP,Authentication,,389,,,,,
CP03OTPC,NetMeeting,,,1720,,,disable,,
CP03OTPC,NFS,File Access,,111 2049,111 2049,,,,
CP03OTPC,NNTP,,,119,,,disable,,
CP03OTPC,NTP,Network Services,,123,123,,,,
CP03OTPC,OSPF,Network Services,IP,,,89,,,
