vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,schedule,service,logtraffic,action,status,nat,ippool,poolname,comments,inbound,vpntunnel,utm-status,av-profile,webfilter-profile,ips-sensor,profile-protocol-options,ssl-ssh-profile,groups
InternalFW,6,Rule 193,47030efc-4aad-51e8-8085-7cb6dbe31dd7,DMZ_Zone,virtual-wan-link,CyberArk Vault CyberArk@DC & CPM,all,always,ALL,all,,,,,,,,,,,,,,,
InternalFW,7,Rule 167,8eddc578-4aad-51e8-0e4c-9d51eb37a732,DMZ_Zone,Scanning_Zone,192.168.100.34/32,192.168.0.190/32,always,DICOM Port 104 DICOM Port 4444 PING RDP ALL_ICMP,all,accept,,,,,,,,,,,,,,
InternalFW,127,Test,638e97f4-960b-51e8-ab10-18a6d458a90d,Trust,virtual-wan-link,192.168.75.12_Test_PC 192.168.75.9_PC,118.143.119.15_apps.core.ehr.gov.hk 118.143.119.16_apps.core.ehr.gov.hk,always,HTTP HTTPS,all,accept,disable,enable,,,,,,,,,,,,
InternalFW,8,Rule 188,5c58c1f2-4ab2-51e8-3f7c-1ac4637bbcbd,Trust,virtual-wan-link,all,ehr.gov.hk ePR link - ppi.core.ehr.gov.hk 118.143.119.15_apps.core.ehr.gov.hk 118.143.119.16_apps.core.ehr.gov.hk,always,ALL,all,accept,,enable,,,,,,,,,,,,
InternalFW,125,112-standby-return,980b7c54-94d5-51e8-44dc-275c79b5a83b,Trust,VPN_Tunnel_Zone,192.168.10.162/32 192.168.10.128/32,172.21.212.0/24,always,ALL,all,accept,,enable,enable,172.21.206.12--192.168.10.162,,,,,,,,,,
InternalFW,121,Rule 141/146-Standby-192.168.10.187,11e0fb04-94d0-51e8-1dac-4237ebe36373,Trust,VPN_Tunnel_Zone,192.168.10.187,HA-eHRss- group-HKT-PRI HA-eHRss- group-HGC-SEC,always,ALL,all,accept,,enable,enable,192.168.72.1--192.168.10.187,Rule 141 - 192.168.10.187,,,,,,,,,
InternalFW,122,Rule 141/146 -Standby192.168.10.182,9d8b602c-94d0-51e8-4c97-f13e8cb0c96b,Trust,VPN_Tunnel_Zone,192.168.10.182,HA-eHRss- group-HKT-PRI HA-eHRss- group-HGC-SEC,always,DNS HTTP HTTPS PING SSH TCP 6622-eHR-SFTP TCP 8001,all,accept,,enable,enable,192.168.72.2--192.168.10.182,Rule 141/146 for 192.168.10.182,,,,,,,,,
InternalFW,10,Rule 141,b473a4ee-4ac4-51e8-24ff-1d89cc74a5cd,Trust,VPN_Tunnel_Zone,192.168.0.0/16,HA-eHRss- group-HKT-PRI,always,DNS HTTP HTTPS PING SSH TCP 6622-eHR-SFTP TCP 8001,all,accept,,enable,enable,dip-5,,,,,,,,,,
InternalFW,9,Rule 140,9687d456-4ac8-51e8-c0c1-55660c89aa38,VPN_Tunnel_Zone,Trust,HA-eHRss- group-HKT-PRI,MIP_192.168.72.1,always,DNS PING,all,accept,,,,,,,,,,,,,,
InternalFW,11,Rule 204,e1c8f86e-4db6-51e8-cf3d-6c89b0a1fa16,Trust,virtual-wan-link,Omnicell - inside,Omnicell outside,always,HTTP HTTPS SSH,all,accept,,enable,,,,,,,,,,,,
