vdom,id,gateway,device,distance,virtual-wan-link,dst,comment
root,1,172.20.0.1,mgmt2,,,,
InternalFW,1,,,1,enable,,
InternalFW,2,,HA_eHR_Test,,,172.21.212.128 255.255.255.128,HA_eHR_Test
InternalFW,3,192.168.10.1,VlanInt10,,,172.20.24.0 255.255.255.0,
InternalFW,4,,HA_MetroIP_DC4,,,210.0.229.161 255.255.255.255,
InternalFW,5,,LomondRDBLD_vpn,,,10.22.0.0 255.255.0.0,
InternalFW,6,,HA_MetroIP_DC3,,,210.0.231.97 255.255.255.255,
InternalFW,7,,HA_MetroIP_DC4,,,210.0.229.97 255.255.255.255,
InternalFW,8,,HA_eHR_HGC,,,192.168.171.0 255.255.255.0,
InternalFW,9,,HA_eHR_Test,,,172.21.212.0 255.255.255.0,
InternalFW,10,172.22.92.9,HGC_910037377,,,172.22.95.72 255.255.255.255,
InternalFW,11,172.30.192.9,HGC_910037378,,,172.30.195.72 255.255.255.255,
InternalFW,12,,HA_MetroIP_DC3,,,210.0.231.154 255.255.255.255,
InternalFW,13,,HA_MetroIP_DC4,,,210.0.229.154 255.255.255.255,
InternalFW,14,,,1,enable,192.168.201.2 255.255.255.255,
InternalFW,15,,HA_MetroIP_DC3,,,210.0.231.64 255.255.255.255,
InternalFW,16,,HA_MetroIP_DC3,,,210.0.231.65 255.255.255.255,
InternalFW,17,,HA_MetroIP_DC4,,,210.0.229.174 255.255.255.255,
InternalFW,18,,HA_MetroIP_DC4,,,210.0.229.176 255.255.255.255,
InternalFW,19,,HA_MetroIP_DC4,,,210.0.229.156 255.255.255.255,
InternalFW,20,192.168.10.1,VlanInt10,,,192.168.22.0 255.255.255.0,
InternalFW,21,192.168.10.1,VlanInt10,,,192.168.11.0 255.255.255.0,
InternalFW,22,192.168.10.1,VlanInt10,,,192.168.30.0 255.255.255.0,
InternalFW,23,192.168.10.1,VlanInt10,,,192.168.17.0 255.255.255.0,
InternalFW,24,192.168.10.1,VlanInt10,,,192.168.110.0 255.255.255.0,
InternalFW,25,192.168.10.1,VlanInt10,,,192.168.176.0 255.255.255.0,to Agfa
InternalFW,26,192.168.10.1,VlanInt10,,,192.168.75.0 255.255.255.0,
InternalFW,27,192.168.10.1,VlanInt10,,,192.168.150.0 255.255.255.0,
InternalFW,28,192.168.10.1,VlanInt10,,,192.168.9.0 255.255.255.0,
InternalFW,29,192.168.10.1,VlanInt10,,,192.168.60.0 255.255.255.0,
InternalFW,30,192.168.10.1,VlanInt10,,,192.168.18.0 255.255.255.0,
InternalFW,31,192.168.10.1,VlanInt10,,,192.168.21.0 255.255.255.0,
InternalFW,32,192.168.10.1,VlanInt10,,,192.168.15.0 255.255.255.0,
InternalFW,33,192.168.10.1,VlanInt10,,,172.20.12.0 255.255.255.0,
InternalFW,34,192.168.10.1,VlanInt10,,,172.20.0.0 255.255.255.0,
InternalFW,35,,HA_eHR_HKT,,,192.168.71.0 255.255.255.0,
InternalFW,36,,HA_MetroIP_DC4,,,210.0.229.168 255.255.255.255,
InternalFW,37,,HA_MetroIP_DC3,,,210.0.231.129 255.255.255.255,
InternalFW,38,192.168.10.1,VlanInt10,,,192.168.0.0 255.255.0.0,
INTER_WIFI,1,118.140.100.41,port16,,,,
