vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
root,SSLVPN_TUNNEL_ADDR1,12979c72-449d-51e6-534a-c383a7cba076,iprange,10.212.134.200,10.212.134.210,,,,,
root,all,129744fc-449d-51e6-5c70-e110cd939c1f,,,,,,,,
root,none,12843286-449d-51e6-c84f-cb410e71b8dc,,,,0.0.0.0 255.255.255.255,,,,
root,apple,12843844-449d-51e6-70f7-d86bcae87721,wildcard-fqdn,,,,*.apple.com,,,
root,dropbox.com,12843d08-449d-51e6-f44e-854c2f97fe35,wildcard-fqdn,,,,*.dropbox.com,,,
root,Gotomeeting,1284415e-449d-51e6-f14f-279cca4db883,wildcard-fqdn,,,,*.gotomeeting.com,,,
root,icloud,128445b4-449d-51e6-5f75-9305ce6c14ed,wildcard-fqdn,,,,*.icloud.com,,,
root,itunes,12844a0a-449d-51e6-4bac-9fef9193b080,wildcard-fqdn,,,,*itunes.apple.com,,,
root,android,12844e42-449d-51e6-28a8-0d11f57664fc,wildcard-fqdn,,,,*.android.com,,,
root,skype,12845284-449d-51e6-4d8e-cb4760cc56c8,wildcard-fqdn,,,,*.messenger.live.com,,,
root,swscan.apple.com,1284573e-449d-51e6-2a40-1cf793484744,fqdn,,,,,swscan.apple.com,,
root,update.microsoft.com,12845b8a-449d-51e6-3d22-30562d35bff5,fqdn,,,,,update.microsoft.com,,
root,appstore,12845fcc-449d-51e6-5003-713a24ace220,wildcard-fqdn,,,,*.appstore.com,,,
root,eease,12846404-449d-51e6-acf8-6a36083fac50,wildcard-fqdn,,,,*.eease.com,,,
root,google-drive,128468b4-449d-51e6-4dd8-76eadeb4c732,wildcard-fqdn,,,,*drive.google.com,,,
root,google-play,12846cf6-449d-51e6-f78d-1a13c826ef17,fqdn,,,,,play.google.com,,
root,google-play2,12847138-449d-51e6-e74a-7afda3c4545b,wildcard-fqdn,,,,*.ggpht.com,,,
root,google-play3,12847570-449d-51e6-0976-463e09985b52,wildcard-fqdn,,,,*.books.google.com,,,
root,microsoft,12847a66-449d-51e6-019a-c8027a9ac090,wildcard-fqdn,,,,*.microsoft.com,,,
root,adobe,12847eda-449d-51e6-3b00-a5f7da1cda37,wildcard-fqdn,,,,*.adobe.com,,,
root,Adobe Login,12848326-449d-51e6-b778-568b72837367,wildcard-fqdn,,,,*.adobelogin.com,,,
root,fortinet,12848772-449d-51e6-cfe8-37381f5452f5,wildcard-fqdn,,,,*.fortinet.com,,,
root,googleapis.com,12848bb4-449d-51e6-6727-4fd097813663,wildcard-fqdn,,,,*.googleapis.com,,,
root,citrix,12849000-449d-51e6-df6c-c3c752352458,wildcard-fqdn,,,,*.citrixonline.com,,,
root,verisign,1284946a-449d-51e6-1a95-b448f54916f2,wildcard-fqdn,,,,*.verisign.com,,,
root,Windows update 2,128498b6-449d-51e6-085c-68fbdd318f80,wildcard-fqdn,,,,*.windowsupdate.com,,,
root,*.live.com,12849cf8-449d-51e6-51b1-403819a9d7ca,wildcard-fqdn,,,,*.live.com,,,
root,auth.gfx.ms,1284a13a-449d-51e6-39f8-c71ce5f36174,fqdn,,,,,auth.gfx.ms,,
root,autoupdate.opera.com,1284a59a-449d-51e6-13e4-61168023e2ee,fqdn,,,,,autoupdate.opera.com,,
root,softwareupdate.vmware.com,1284a9e6-449d-51e6-4238-7ba51d91ad12,fqdn,,,,,softwareupdate.vmware.com,,
root,firefox update server,1284ae3c-449d-51e6-102d-5354f67ba622,wildcard-fqdn,,,,aus*.mozilla.org,,,
