vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
root,SSLVPN_TUNNEL_ADDR1,1948602a-4451-51e6-88cf-fda9bf9ebc0f,iprange,10.212.134.200,10.212.134.210,,,,,
root,all,194810c0-4451-51e6-2087-5ecc9d703c0a,,,,,,,,
root,none,1936b8ca-4451-51e6-b726-f78e135315bb,,,,0.0.0.0 255.255.255.255,,,,
root,apple,1936be06-4451-51e6-7b59-b1cadf320d4b,wildcard-fqdn,,,,*.apple.com,,,
root,dropbox.com,1936c266-4451-51e6-9650-a7f2159faedc,wildcard-fqdn,,,,*.dropbox.com,,,
root,Gotomeeting,1936c64e-4451-51e6-dff3-9ed47f6e6511,wildcard-fqdn,,,,*.gotomeeting.com,,,
root,icloud,1936ca2c-4451-51e6-a62e-d7e199525e4e,wildcard-fqdn,,,,*.icloud.com,,,
root,itunes,1936ce00-4451-51e6-9a6f-2c1b78ae7394,wildcard-fqdn,,,,*itunes.apple.com,,,
root,android,1936d1de-4451-51e6-aa20-735ea999b042,wildcard-fqdn,,,,*.android.com,,,
root,skype,1936d5b2-4451-51e6-d42e-4d0d3afe76cf,wildcard-fqdn,,,,*.messenger.live.com,,,
root,swscan.apple.com,1936da12-4451-51e6-7c94-11d915181763,fqdn,,,,,swscan.apple.com,,
root,update.microsoft.com,1936ddfa-4451-51e6-d30a-b9e71229e6b0,fqdn,,,,,update.microsoft.com,,
root,appstore,1936e1d8-4451-51e6-da22-ee3e76ec6479,wildcard-fqdn,,,,*.appstore.com,,,
root,eease,1936e5c0-4451-51e6-9cee-7e96e7a2d07f,wildcard-fqdn,,,,*.eease.com,,,
root,google-drive,1936e994-4451-51e6-ebb5-441e346865a0,wildcard-fqdn,,,,*drive.google.com,,,
root,google-play,1936ed72-4451-51e6-34b4-cb5feef822ff,fqdn,,,,,play.google.com,,
root,google-play2,1936f146-4451-51e6-009c-1398e59bf531,wildcard-fqdn,,,,*.ggpht.com,,,
root,google-play3,1936f524-4451-51e6-27a3-d80057d84223,wildcard-fqdn,,,,*.books.google.com,,,
root,microsoft,1936f998-4451-51e6-a578-686c179b16c0,wildcard-fqdn,,,,*.microsoft.com,,,
root,adobe,1936fda8-4451-51e6-883d-b2195792977b,wildcard-fqdn,,,,*.adobe.com,,,
root,Adobe Login,1937017c-4451-51e6-65e8-1e832c2e3b5d,wildcard-fqdn,,,,*.adobelogin.com,,,
root,fortinet,19370564-4451-51e6-8d89-fcbbd3f946b4,wildcard-fqdn,,,,*.fortinet.com,,,
root,googleapis.com,19370942-4451-51e6-af7f-dbdc7299248a,wildcard-fqdn,,,,*.googleapis.com,,,
root,citrix,19370d16-4451-51e6-cb8a-ef9bc441c5ff,wildcard-fqdn,,,,*.citrixonline.com,,,
root,verisign,19371112-4451-51e6-0455-fd6d141ddecb,wildcard-fqdn,,,,*.verisign.com,,,
root,Windows update 2,193714fa-4451-51e6-475c-9deec1bff8d2,wildcard-fqdn,,,,*.windowsupdate.com,,,
root,*.live.com,193718d8-4451-51e6-2237-b97750088dae,wildcard-fqdn,,,,*.live.com,,,
root,auth.gfx.ms,19371cac-4451-51e6-b21d-8e810c47a48d,fqdn,,,,,auth.gfx.ms,,
root,autoupdate.opera.com,1937208a-4451-51e6-0d78-ef8bd0d15248,fqdn,,,,,autoupdate.opera.com,,
root,softwareupdate.vmware.com,19372472-4451-51e6-69bf-8c573f6c662d,fqdn,,,,,softwareupdate.vmware.com,,
root,firefox update server,1937285a-4451-51e6-b5d4-bfa80cbe616e,wildcard-fqdn,,,,aus*.mozilla.org,,,
CP03OTPC,none,40947ed8-49bf-51e7-37c7-7cbb252d1af0,,,,0.0.0.0 255.255.255.255,,,,
CP03OTPC,adobe,40948df6-49bf-51e7-87a3-6016e40d7954,wildcard-fqdn,,,,*.adobe.com,,,
CP03OTPC,Adobe Login,40949d50-49bf-51e7-8b05-6bf5ed2774f4,wildcard-fqdn,,,,*.adobelogin.com,,,
CP03OTPC,android,4094acbe-49bf-51e7-7db4-8d7a603c62e0,wildcard-fqdn,,,,*.android.com,,,
CP03OTPC,apple,4094bbfa-49bf-51e7-80e2-0e6c0451dff1,wildcard-fqdn,,,,*.apple.com,,,
CP03OTPC,appstore,4094cb36-49bf-51e7-4e5a-cfd431d19d4c,wildcard-fqdn,,,,*.appstore.com,,,
CP03OTPC,auth.gfx.ms,4094da72-49bf-51e7-faf9-788890714c39,fqdn,,,,,auth.gfx.ms,,
CP03OTPC,autoupdate.opera.com,4094e9c2-49bf-51e7-cf48-75c40ce49553,fqdn,,,,,autoupdate.opera.com,,
CP03OTPC,citrix,4094f912-49bf-51e7-7374-ae46afa30918,wildcard-fqdn,,,,*.citrixonline.com,,,
CP03OTPC,dropbox.com,40950876-49bf-51e7-08b9-6c2c298c1ab3,wildcard-fqdn,,,,*.dropbox.com,,,
CP03OTPC,eease,4095178a-49bf-51e7-d754-2d74231abfe0,wildcard-fqdn,,,,*.eease.com,,,
CP03OTPC,firefox update server,4095269e-49bf-51e7-e38e-66c8590bd088,wildcard-fqdn,,,,aus*.mozilla.org,,,
CP03OTPC,fortinet,409535f8-49bf-51e7-5a15-321af4ac0e01,wildcard-fqdn,,,,*.fortinet.com,,,
CP03OTPC,googleapis.com,4095453e-49bf-51e7-1b1c-1e05a5a5fff6,wildcard-fqdn,,,,*.googleapis.com,,,
CP03OTPC,google-drive,409554a2-49bf-51e7-f4d2-8f40297c74fc,wildcard-fqdn,,,,*drive.google.com,,,
CP03OTPC,google-play,409563de-49bf-51e7-523a-ee798afcf4fc,fqdn,,,,,play.google.com,,
CP03OTPC,google-play2,40957374-49bf-51e7-a3b9-f3913a8f838b,wildcard-fqdn,,,,*.ggpht.com,,,
CP03OTPC,google-play3,409582ce-49bf-51e7-30e2-a1370c9af632,wildcard-fqdn,,,,*.books.google.com,,,
CP03OTPC,Gotomeeting,40959200-49bf-51e7-48f2-2d0735001894,wildcard-fqdn,,,,*.gotomeeting.com,,,
CP03OTPC,icloud,4095a114-49bf-51e7-ce65-33113096da10,wildcard-fqdn,,,,*.icloud.com,,,
CP03OTPC,itunes,4095b050-49bf-51e7-11eb-4783d6613ad9,wildcard-fqdn,,,,*itunes.apple.com,,,
CP03OTPC,microsoft,4095bf82-49bf-51e7-7f3f-bc32574049ad,wildcard-fqdn,,,,*.microsoft.com,,,
CP03OTPC,skype,4095ceaa-49bf-51e7-27db-a51a99e13a0d,wildcard-fqdn,,,,*.messenger.live.com,,,
CP03OTPC,softwareupdate.vmware.com,4095dde6-49bf-51e7-40b5-9227cf6623e6,fqdn,,,,,softwareupdate.vmware.com,,
CP03OTPC,swscan.apple.com,4095ed68-49bf-51e7-0abc-803816187692,fqdn,,,,,swscan.apple.com,,
CP03OTPC,update.microsoft.com,4095fce0-49bf-51e7-b8e0-8a1e9580c59a,fqdn,,,,,update.microsoft.com,,
CP03OTPC,verisign,40960c44-49bf-51e7-1476-e130a2a917c3,wildcard-fqdn,,,,*.verisign.com,,,
CP03OTPC,Windows update 2,40961b80-49bf-51e7-7587-baab5faabde2,wildcard-fqdn,,,,*.windowsupdate.com,,,
CP03OTPC,live.com,40962ae4-49bf-51e7-697b-ee10c002da62,wildcard-fqdn,,,,*.live.com,,,
CP03OTPC,SSLVPN_TUNNEL_ADDR1,40de1b38-49bf-51e7-68e0-a4b2d1fd71a1,iprange,10.212.134.200,10.212.134.210,,,,ssl.CP03OTPC,
CP03OTPC,all,40de3320-49bf-51e7-6f47-a6a124c22780,,,,,,,,
