name,interface
I.CASH.OTPC,I_OTPC.3105
E.UCN,E_UCN.3203
E.NMC,E_NMC.3204
I.OADMAPP,I_OADMAPP.3107
I.TOFAPP,I_TOFAPP.3108
I.OADMWEB,I_OADMWEB.3109
I.CNMC,I_CNMC.3114
I.CCI,I_CCI.3162
I.IISCORE,I_IISCORE.3164
I.CASH.Trust2,I_CASH.3112
I.OAdmWEB,I_OADMWEB.3104
I.TOFAPP,I_TOFAPP.3101
I.OAdmAPP,I_OADMAPP.3103
E.UCN,E_UCN.3201
E.NMC,E_NMC.3202
E.OCG,E_OCG.3205
E.XSYS,E_XSYS.3206
I.SATWEB,I_SATWEB.3102
W.OCG.T3T4,WAN_OCG.684 WAN_OCG.685 WAN_OCG.688 WAN_OCG.689 WAN_OCG.692 WAN_OCG.693
I.OMDCFE,I_OMDCFE.791
I.OMDCFEMGT,I_OMDCFEM.795
I.OMC,I_OMC.3106
E.SMARTS,
W.OMDC.T3T4,WAN_OMDC.602 WAN_OMDC.603 WAN_OMDC.606 WAN_OMDC.607 WAN_OMDC.610 WAN_OMDC.611
E.TOF2,E_TOF2.461
E.TOF1,E_TOF1.351
E.CSC,E_CSC.1258
E.OMDD4,E_OMDD4.1442
W.OMDD.T3T4,WAN_OMDD.1415 WAN_OMDD.1416 WAN_OMDD.1419 WAN_OMDD.1420 WAN_OMDD.1423 WAN_OMDD.1424
E.OMDD,E_OMDD.3216
E.MDF,E.MDF_3217
E.WATEREZOES,E_WATEREZ.3215
I.CNMC,I_CNMC.3113
E.TOF,E_TOF.3212
I.BCAN,I_BCAN.3119
E.EMFTProxy.CASH2,E_EMFTP.C2.3223
E.EMFTAdmin,E_EMFTPA.3224
I.CCI,I_CCI.3161
