vdom,id,dst,gateway,device,comment,status
root,1,10.8.150.32 255.255.255.224,10.8.149.1,mgmt2,WTT KTOC,
root,2,10.8.150.64 255.255.255.224,10.8.149.1,mgmt2,WTT TWOC,
root,3,10.8.132.0 255.255.255.192,10.8.149.1,mgmt2,WTT KTOC,
root,4,10.8.132.64 255.255.255.192,10.8.149.1,mgmt2,WTT TWOC,
root,5,10.91.1.64 255.255.255.248,10.8.149.1,mgmt2,WTT KTOC,
CP03OTPC,2,192.168.0.0 255.255.0.0,10.91.1.158,E_UCN.3203,UCN,
CP03OTPC,3,10.164.1.0 255.255.255.0,10.91.2.22,E_NMC.3204,NMC,
CP03OTPC,4,10.164.129.0 255.255.255.0,10.91.2.22,E_NMC.3204,NMC,
CP03OTPC,5,10.163.143.0 255.255.255.0,10.91.2.22,E_NMC.3204,NMC,
CP03OTPC,6,10.63.142.0 255.255.255.0,10.91.2.22,E_NMC.3204,NMC,
CP03OTPC,7,10.164.130.0 255.255.255.0,10.91.2.22,E_NMC.3204,NMC,
CP03OTPC,10,10.70.12.0 255.255.255.0,10.91.3.86,I_TOFAPP.3108,spine TOFAPP,
CP03OTPC,11,10.70.2.0 255.255.255.0,10.91.3.86,I_TOFAPP.3108,spine TOFAPP,
CP03OTPC,12,10.91.20.0 255.255.255.0,10.91.3.78,I_OADMAPP.3107,Spine OADMAPP,
CP03OTPC,13,10.163.142.0 255.255.255.0,10.91.2.22,E_NMC.3204,NMC,
CP03OTPC,1,10.91.10.0 255.255.254.0,10.91.3.38,I_OTPC.3105,spine OTPC,
CP03OTPC,8,10.91.19.0 255.255.255.0,10.91.3.38,I_OTPC.3105,spine OTPC,disable
CP03OTPC,9,10.91.18.0 255.255.254.0,10.91.3.38,I_OTPC.3105,spine OTPC,
CP03OTPC,14,10.90.18.0 255.255.254.0,10.91.3.38,I_OTPC.3105,spine OTPC,
CP03OTPC,15,10.90.20.0 255.255.255.0,10.91.3.78,I_OADMAPP.3107,Spine OADMAPP,
CP03OTPC,16,10.91.22.0 255.255.255.0,10.91.3.94,I_OADMWEB.3109,,
