vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,schedule,service,logtraffic,action,utm-status,ips-sensor,comments,nat,ippool,poolname
root,999,Explicit Deny,e78362a8-44d8-51e8-ea1c-1dcc52ce5e4b,any,any,all,all,always,ALL,all,,,,,,,
CP03OTPC,1,OTPC SNMP trap,b55fd5b0-5846-51e7-3f8f-16bd192c2a26,I.CASH.OTPC,E.UCN,Net_10.91.10.0/23,Host_192.168.150.226 Host_192.168.188.226,always,UDP/161-162,all,accept,enable,default,,,,
CP03OTPC,2,OTPC Networker,2f0470c0-57bf-51e7-7151-1e6ec1dc0d0e,I.CASH.OTPC,E.NMC,Net_10.91.10.0/23,NetGp_Networker_NMC,always,PORT_Networker,all,accept,enable,,,,,
CP03OTPC,3,OTPC BMC,2f1e81f4-57bf-51e7-c388-4610dfbfefd1,I.CASH.OTPC,E.UCN,Net_10.91.10.0/23,Host_192.168.150.225 Host_192.168.150.226 Host_192.168.188.225 Host_192.168.188.226,always,PORT_BMC,all,accept,enable,,,,,
CP03OTPC,4,OTPC Bladelogic,2f382528-57bf-51e7-447d-8a83fa878932,I.CASH.OTPC,E.UCN,Net_10.91.10.0/23,Host_192.168.150.230 Host_192.168.188.230,always,TCP/4750,all,accept,enable,,,,,
CP03OTPC,5,OTPC NTP,2f539d94-57bf-51e7-ba0f-e50a171737b6,I.CASH.OTPC,E.NMC,Net_10.91.10.0/23,NetGp_TimeServer,always,PORT_NTP,all,accept,enable,,,,,
CP03OTPC,6,OTPC Networker1,2f6ca29e-57bf-51e7-0279-f0c35906dd23,E.NMC,I.CASH.OTPC,NetGp_Networker_NMC,Net_10.91.10.0/23,always,PORT_Networker,all,accept,enable,,,,,
CP03OTPC,7,OTPC BMC1,2f86e03c-57bf-51e7-18c2-cf9048c5111d,E.UCN,I.CASH.OTPC,Host_192.168.150.225 Host_192.168.150.226 Host_192.168.188.225 Host_192.168.188.226,Net_10.91.10.0/23,always,PORT_BMC,all,accept,enable,,,,,
CP03OTPC,8,OTPC Bladelogic1,2fa20aba-57bf-51e7-8024-b7446a69b3aa,E.UCN,I.CASH.OTPC,Host_192.168.150.230,Net_10.91.10.0/23,always,TCP/4750,all,accept,enable,,,,,
CP03OTPC,9,OTPC CTM jump node,2fbdf5d6-57bf-51e7-99b9-49ae2358155d,E.NMC,I.CASH.OTPC,Host_10.164.1.21 Host_10.164.129.21 Host_10.164.1.26 Host_10.164.130.26 Net_10.63.142.0 Net_10.163.143.0,Net_10.91.10.0/23,always,TCP/22 PING,all,accept,enable,,,,,
CP03OTPC,10,OTPC CTM yum repository,2fd882f2-57bf-51e7-7e08-3df4c0270258,I.CASH.OTPC,E.NMC,Net_10.91.10.0/23,Host_10.164.1.21 Host_10.164.129.21,always,TCP/80,all,accept,enable,,,,,
