name,interface
Test_zone1,
Test_zone2,
Zone1,
Zone2,
Zone1,Interface1
Zone2,Interface2
I.NM,I_NM.3135
I.DEVMGT,I_DEVMGT.3134
E.NMC,E_NMC.3219
I.HSN.NM,I.HSN.NM.3120
I.CASHMGT,I_CASHMGT.3131
E.NMC,E_NMC.3202
W.OCG,WAN_OCG.670 WAN_OCG.674 WAN_OCG.678
I.Dev.CASHMGT,I_DEV_CMGT.3132
E.CASHIAN,E_CASHIAN.3302
E.OMDIAN,E_OMDIAN.3303
E.SP,E_SP.3304
E.MMDH,E_MMDH.3306
E.CSI,E_CSI.3305
E.MOON,E_MOON.3307
I.Dev.CASH,I_DEV_CASH.3133
E.OCG,E_OCG.3205
E.XSYS,E_XSYS.3206
E.MTC,E_MTC.3207
E.UCN,E_UCN.3201
E.OAPROD,E_OAPROD.3208
E.Dev.CASHIAN,E_DEV_CIAN.3209
I.CASH.Trust,I_CASH.3111
W.OMDC,WAN_OMDC.210 WAN_OMDC.212 WAN_OMDC.214
I.OAdmWEB,I_OADMWEB.3104
E.Dev.AMSCON,E_DEV_AMSC.3210
I.OMC,I_OMC.3106
I.TOFAPP,I_TOFAPP.3101
I.SATWEB,I_SATWEB.3102
I.OAdmAPP,I_OADMAPP.3103
E.SFC,E_SFC.3308
E.CSC,E_CSC.3213
E.OMC_SDN2,E_OMC_SDN2.3214
E.WATEREZOES,E_WATEREZ.3215
I.OMC.DR,I_OMC.DR.3176
E.SMARTS,E_SMARTS.3211
E.TOF1.TB,E_TOF1.TB.2351
E.OMD1.TB,E_OMD1.TB.2349
E.OMD1,E_OMD1.1350
E.TOF1,E_TOF1.1351
E.MDF1.PB,E_MDF.PB.2270
E.OMDD,E_OMDD.3216
E_DR_IIS,E_DR_IIS.267
E.MDF1.TB,E_MDF.TB.270
Dev.MiddleSky,Dev.MidSky.1965
E.OMDD4,E_OMDD4.1443
I.DEV.EMFTProxy,I.DEV.EMFTP3137
I.DEV.EMFTCore,I.DEV.EMFTC.182
I.BCAN,I_BCAN.3119
E.TOF,E_TOF.3218
E.EMFTProxy,E_EMFTP.3223
E.EMFTAdmin,E_EMFTA.3224
E.WATERCT,E_WATERCT.3225
I.CCCG,I_CCCG.3124
I.CSCDMZ,I_CSCDMZ.3127
W.CCCG.T1T2,WAN_CCCG.1670 WAN_CCCG.1674 WAN_CCCG.1678
E.WATERCC,E_WATERCC.3227
E.HK2SH,E_HK2SH.1262
I.CCI,I_CCI.3161
HSN,E_HSN.3001
I.CASH,I_CASH.3110
I.DEV.EMFTProxy,I.DEV.EMFTP3138
I.CASH.CPSP901.HSN,I_C.SP901.3172
E.EMFTProxy.HSN,E_EMFTP.HSN3221
I.CCCG,I_CCCG.3123
I.WATEZMC1,I_WATEZMC1.3117
E.SZMC1,E_SZMC1.1630
I.OTPC,I_OTPC.3105
E.NMC,E_NMC.3204
I.OADMAPP,I_OADMAPP.3107
I.TOFAPP,I_TOFAPP.3108
E.UCN,E_UCN.3203
I.CCCG,I_CCCG.3126
I.CSC,I_CSC.3116
I.CSCDMZ,I_CSCDMZ.3128
I.Dev.CASH,I_DEV_CASH.3125
I.CCI,I_CCI.3162
I.IIS_INSIDE,I_IIS.3164
I.CASH.Trust2,I_CASH.3130
I.CASH.Trust.DR,I_CASH.3112
E.OMDD4.PB,E_OMDD4.PB.1442
I.CASH.Trust.DR,I_CASH.DR.3171
W.OMDC.DR,WAN_OMDC.DR.211 WAN_OMDC.DR.213 WAN_OMDC.DR.215
Dev.MiddleSky,Dev.MidSky.1973
E.SMARTS.DR,E_SMARTS.DR3271
E.UCN,E_UCN.3251
E.NMC,E_NMC.3252
