vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,comment,associated-interface
root,SSLVPN_TUNNEL_ADDR1,b1ae4448-4cca-51e6-191e-c01b4c08f6dd,iprange,10.212.134.200,10.212.134.210,,,,,
root,all,b1adf27c-4cca-51e6-0d8e-df9af98f769d,,,,,,,,
root,none,b19c0652-4cca-51e6-7527-6c1e74292646,,,,0.0.0.0 255.255.255.255,,,,
root,apple,b19c0bb6-4cca-51e6-7a5d-372ea2b994c5,wildcard-fqdn,,,,*.apple.com,,,
root,dropbox.com,b19c1034-4cca-51e6-1206-1b7b0cdb120e,wildcard-fqdn,,,,*.dropbox.com,,,
root,Gotomeeting,b19c1458-4cca-51e6-5890-259b95b8c164,wildcard-fqdn,,,,*.gotomeeting.com,,,
root,icloud,b19c1854-4cca-51e6-7b7e-7850fdaab475,wildcard-fqdn,,,,*.icloud.com,,,
root,itunes,b19c1c50-4cca-51e6-d4cd-348f2742f361,wildcard-fqdn,,,,*itunes.apple.com,,,
root,android,b19c2038-4cca-51e6-63e4-620ccb3a3043,wildcard-fqdn,,,,*.android.com,,,
root,skype,b19c242a-4cca-51e6-d939-18fdd3e737a5,wildcard-fqdn,,,,*.messenger.live.com,,,
root,swscan.apple.com,b19c2894-4cca-51e6-f8da-bb98d588047e,fqdn,,,,,swscan.apple.com,,
root,update.microsoft.com,b19c2c86-4cca-51e6-7c96-49fdb50b9222,fqdn,,,,,update.microsoft.com,,
root,appstore,b19c3082-4cca-51e6-ab97-3fd50c7c32bf,wildcard-fqdn,,,,*.appstore.com,,,
root,eease,b19c347e-4cca-51e6-b61a-58484356dfb6,wildcard-fqdn,,,,*.eease.com,,,
root,google-drive,b19c387a-4cca-51e6-0b59-2fc0d02e59dc,wildcard-fqdn,,,,*drive.google.com,,,
root,google-play,b19c3c6c-4cca-51e6-a440-f9a6b449b172,fqdn,,,,,play.google.com,,
root,google-play2,b19c405e-4cca-51e6-4433-9c14ee9a5961,wildcard-fqdn,,,,*.ggpht.com,,,
root,google-play3,b19c4464-4cca-51e6-61b2-a98f895a3f28,wildcard-fqdn,,,,*.books.google.com,,,
root,microsoft,b19c48f6-4cca-51e6-4884-22710e5ea4f2,wildcard-fqdn,,,,*.microsoft.com,,,
root,adobe,b19c4d24-4cca-51e6-5cf1-378e87fb1698,wildcard-fqdn,,,,*.adobe.com,,,
root,Adobe Login,b19c5120-4cca-51e6-8b62-f189c882887a,wildcard-fqdn,,,,*.adobelogin.com,,,
root,fortinet,b19c551c-4cca-51e6-14f3-e7418efba007,wildcard-fqdn,,,,*.fortinet.com,,,
root,googleapis.com,b19c5918-4cca-51e6-0df6-2b7656d952c2,wildcard-fqdn,,,,*.googleapis.com,,,
root,citrix,b19c5d14-4cca-51e6-9eb9-b076407a7b75,wildcard-fqdn,,,,*.citrixonline.com,,,
root,verisign,b19c612e-4cca-51e6-ab26-d8f2fae2f05c,wildcard-fqdn,,,,*.verisign.com,,,
root,Windows update 2,b19c6566-4cca-51e6-fe04-510bf583bb1f,wildcard-fqdn,,,,*.windowsupdate.com,,,
root,*.live.com,b19c6962-4cca-51e6-01ad-de30859a02cb,wildcard-fqdn,,,,*.live.com,,,
