vdom,name,uuid,member,comment
CT901NM,NetGp_NMC_Networker,08ebbe2c-250c-51e9-82de-a0d5af3554bc,Range_10.164.12.81-82 Range_10.164.141.81-82 Host_10.164.12.85 Host_10.164.141.85 Host_10.164.129.82 Host_10.164.11.85 Host_10.164.12.95 Host_10.164.140.85 Host_10.164.139.85 Host_10.164.129.85,
CT901CASH1,HOSTGP_OAPROD_HOST,f8ee890a-854e-51e6-c26f-1fca0279cd86,HOST_192.168.58.103 HOST_192.168.58.107 HOST_192.168.58.135 HOST_192.168.58.136 HOST_192.168.58.138 HOST_192.168.58.153 HOST_192.168.58.179 HOST_192.168.58.180 HOST_192.168.58.52 HOST_192.168.58.53 HOST_192.168.58.56 HOST_192.168.58.58 HOST_192.168.58.59 HOST_192.168.58.60 HOST_192.168.58.61 HOST_192.168.58.63 HOST_192.168.58.64 HOST_192.168.58.65 HOST_192.168.58.66 HOST_192.168.58.67 HOST_192.168.58.68 HOST_192.168.58.69 HOST_192.168.58.70 HOST_192.168.58.72 HOST_192.168.58.73 HOST_192.168.58.75 HOST_192.168.58.76 HOST_192.168.58.77 HOST_192.168.58.78 HOST_192.168.58.88 HOST_192.168.59.46 HOST_192.168.59.47 HOST_192.168.59.48 HOST_192.168.59.49 HOST_192.168.65.110,SDNet/2 OA PROD HOST
CT901CASH1,NetGp_Networker,88f7acb0-8ecd-51e7-7c06-82b76d22f547,Host_10.164.1.42 Host_10.164.129.42 Range_10.164.1.1-3 Range_10.164.1.37-38 Range_10.164.1.44-45 Range_10.164.129.1-3 Range_10.164.129.37-38 Range_10.164.129.44-45,
CT901CASH1,NetGp_BMC,694cb980-0a3f-51e8-28a7-03a717b708f5,Range_10.164.11.102-103 Range_10.164.140.102-103,
CT901CASH1,NetGp_Networker_backup,e16cc378-0a40-51e8-4d3f-1999686c846f,Host_10.164.11.85 Host_10.164.12.85 Host_10.164.12.95 Host_10.164.140.85 Host_10.164.141.85 Host_10.164.141.95 Range_10.164.12.81-82 Range_10.164.141.81-82,
CT901CASH1,NetGp_SNMP_trap,f714a998-0a40-51e8-54a0-8e3a8c3e980f,Range_10.164.11.102-103 Range_10.164.140.102-103,
CT901CASH1,NetGp_Timeserver,4c47bc3e-0a41-51e8-fec4-a5dac3b60b03,Host_10.164.1.200 Host_10.164.1.201 Host_10.164.129.200 Host_10.164.129.201,
CT901CASH1,NetGp_CTM_jumpnode,90e89bf6-0a41-51e8-055d-112dd554487e,HOST_10.164.1.21 HOST_10.164.1.26 HOST_10.164.129.21 Host_10.164.130.26,
CT901CASH1,NetGp_CTM_yum,af0ea508-0a41-51e8-70aa-849577c75cea,HOST_10.164.1.21 HOST_10.164.129.21,
CT901CASH1,NetGp_OneView,f09c7e8c-0a41-51e8-5901-86fada3a38c0,HOST_10.164.1.36 Host_10.164.130.36,
CT901CASH1,NetGp_iLo_NMC,8df4f1aa-0a42-51e8-9f8e-552c4d68bd1b,Net_10.163.143.0 Net_10.63.142.0,
CT901CASH1,NetGp_iLo_UCN,a69a5dc6-0a42-51e8-20c9-2716187acba5,Range_192.168.166.181-182,
CT901CASH1,NetGp_New_Networker,ca652a02-1c7f-51e8-221f-d8a3acacaac7,Range_10.164.12.81-82 Range_10.164.141.81-82 Host_10.164.11.85 Host_10.164.12.85 Host_10.164.12.95 Host_10.164.140.85 Host_10.164.141.85 Host_10.164.141.95,
CT901CASH1,NetGp_Dev_OTP_CSC,3b37b076-7a84-51e8-e7f0-626658b03d9c,NET_10.163.225.0 NET_10.163.226.0 NET_10.163.227.0 NET_10.163.228.0 NET_10.163.229.0 NET_10.163.230.0 NET_10.163.220.0,
CT901CASH1,NetGp_CCI_BMC,a733af30-39b2-51e9-af52-64a543d8bd4f,Host_10.245.132.85 Host_10.245.132.86 Host_10.249.132.52 Host_10.249.132.53,
CT901OTPC,NetGp_New_Networker,e9f239ba-a540-51e8-2dd3-7c02282695fc,Range_10.164.12.81-82 Range_10.164.141.81-82 Host_10.164.11.85 Host_10.164.12.85 Host_10.164.12.95 Host_10.164.140.85 Host_10.164.141.85 Host_10.164.141.95,
CT901OTPC,NetGp_Dev_OTP_CSC,738f0ff8-2dd7-51e9-5db8-5bc545f2dece,Net_10.163.225.0 Net_10.163.226.0 Net_10.163.227.0 Net_10.163.228.0 Net_10.163.229.0 Net_10.163.230.0 Net_10.163.220.0,
CT901OTPC,NetGp_CCI_BMC,9ef9095c-39b5-51e9-d370-8172a7e8a7b1,Host_10.245.132.85 Host_10.245.132.86 Host_10.249.132.52 Host_10.249.132.53,
