vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,schedule,service,logtraffic,action,utm-status,comments,status,nat,ippool,poolname,ips-sensor
root,999,Explicit Deny,a2e91eb8-2e7a-51e8-e00f-5f9307bafd5c,any,any,all,all,always,ALL,all,,,,,,,,
root,10,Interface1-2,e8ebdb5e-f93f-51e8-20a0-a72c4c9e3d1a,Zone1,Zone2,Network1,Network2,always,ALL_ICMP,all,accept,enable,Testing,,,,,
root,11,Interface1-3,e8ec4206-f93f-51e8-a1f0-be01e21d5804,Zone1,Zone2,Network1,Network2,always,ALL_TCP,all,accept,enable,Testing,,,,,
root,12,Interface1-4,e8eca71e-f93f-51e8-63ca-8001e6d6cf6c,Zone1,Zone2,Network1,Network2,always,ALL_UDP,all,accept,enable,Testing,,,,,
root,13,Interface1-5,e8ed0ba0-f93f-51e8-4a89-00d099e3216e,Zone1,Zone2,Network1,Network2,always,FTP,all,accept,enable,Testing,,,,,
root,14,Interface1-6,e8ed7220-f93f-51e8-8823-2c19c1041e54,Zone1,Zone2,Network1,Network2,always,NFS,all,accept,enable,Testing,,,,,
root,15,Interface1-7,e8edd72e-f93f-51e8-fa67-fea8cd064f08,Zone1,Zone2,Network1,Network2,always,HTTP,all,accept,enable,Testing,,,,,
root,16,Interface1-8,e8ee3ca0-f93f-51e8-44fd-7c70b77d0e28,Zone1,Zone2,Network1,Network2,always,TCP/123,all,accept,enable,Testing,,,,,
root,17,Interface1-9,e8eea0e6-f93f-51e8-1bac-8988aaf6c3a0,Zone1,Zone2,Network1,Network2,always,UDP/122-123,all,accept,enable,Testing,,,,,
CT901TEST1,10,Interface1-2,979b5bc8-f9e7-51e8-d7e2-79cb5468bd3f,Zone1,Zone2,Network1,Network2,always,ALL_ICMP,all,accept,enable,Testing,,,,,
CT901TEST1,11,Interface1-3,979bec96-f9e7-51e8-054d-76683a220d15,Zone1,Zone2,Network1,Network2,always,ALL_TCP,all,accept,enable,Testing,,,,,
CT901TEST1,12,Interface1-4,979c7490-f9e7-51e8-37e6-0db0ea61fda4,Zone1,Zone2,Network1,Network2,always,ALL_UDP,all,accept,enable,Testing,,,,,
CT901TEST1,13,Interface1-5,979cfbea-f9e7-51e8-b856-a30eb97b7310,Zone1,Zone2,Network1,Network2,always,FTP,all,accept,enable,Testing,,,,,
CT901TEST1,14,Interface1-6,979d84ca-f9e7-51e8-984b-1b47bf67cf57,Zone1,Zone2,Network1,Network2,always,NFS,all,accept,enable,Testing,,,,,
CT901TEST1,15,Interface1-7,979e0ca6-f9e7-51e8-7f3b-d2ab7dd28d1b,Zone1,Zone2,Network1,Network2,always,HTTP,all,accept,enable,Testing,,,,,
CT901TEST1,16,Interface1-8,979e93ba-f9e7-51e8-17c0-2e21587606bc,Zone1,Zone2,Network1,Network2,always,TCP/123,all,accept,enable,Testing,,,,,
CT901TEST1,17,Interface1-9,979f1c36-f9e7-51e8-0460-de4a2cf6da18,Zone1,Zone2,Network1,Network2,always,UDP/122-123,all,accept,enable,Testing,,,,,
CT901NM,1,SourceCode to OTPNM PING,8bb7fd5e-c138-51e7-e343-6f1d110d7436,I.DEVMGT,I.NM,Net_10.163.245.0,Net_10.8.148.0,always,PING,all,accept,,,disable,,,,
