name,vdom,type,description,alias,snmp-index,mtu-override,mtu,status,ip,allowaccess,dedicated-to,trust-ip-1,trust-ip-2,trust-ip-3,mode,role,interface,vlanid,device-identification
port1,root,physical,Connect to,DEHBL1 p3  mcA,1,enable,9000,,,,,,,,,,,,
port2,root,physical,Connect to,DEHBL1 p4  mcB,2,enable,9000,,,,,,,,,,,,
port3,root,physical,Connect to,DENMC1 p7  mcA,3,enable,9000,,,,,,,,,,,,
port4,root,physical,Connect to,DENMC1 p11  mcB,4,enable,9000,,,,,,,,,,,,
port5,root,physical,,,5,,,down,,,,,,,,,,,
port6,root,physical,,,6,,,down,,,,,,,,,,,
port7,root,physical,,,7,,,down,,,,,,,,,,,
port8,root,physical,,,8,,,down,,,,,,,,,,,
port9,root,physical,,,9,,,down,,,,,,,,,,,
port10,root,physical,,,10,,,down,,,,,,,,,,,
port11,root,physical,,,11,,,down,,,,,,,,,,,
port12,root,physical,,,12,,,down,,,,,,,,,,,
port13,root,physical,,,13,,,down,,,,,,,,,,,
port14,root,physical,,,14,,,down,,,,,,,,,,,
port15,root,physical,,,15,,,down,,,,,,,,,,,
port16,root,physical,,DWDM:HSN:HSTC01,16,,,,,,,,,,,,,,
port17,root,physical,,HA1,17,,,,,,,,,,,,,,
port18,root,physical,,,18,,,down,,,,,,,,,,,
port19,root,physical,,SESSION_SYNC1,19,,,,,,,,,,,,,,
port20,root,physical,,,20,,,down,,,,,,,,,,,
port21,root,physical,,,21,,,down,,,,,,,,,,,
port22,root,physical,,,22,,,down,,,,,,,,,,,
port23,root,physical,,,23,,,down,,,,,,,,,,,
port24,root,physical,,,24,,,down,,,,,,,,,,,
port25,root,physical,,,25,,,down,,,,,,,,,,,
port26,root,physical,,OOBMGT-VIP,26,,,,,,,,,,,,,,
port27,root,physical,,,27,,,down,,,,,,,,,,,
port28,root,physical,,SESSION_SYNC2,28,,,,,,,,,,,,,,
port29,root,physical,,,29,,,down,,,,,,,,,,,
port30,root,physical,,,30,,,down,,,,,,,,,,,
port31,root,physical,,,31,,,down,,,,,,,,,,,
port32,root,physical,,,32,,,down,,,,,,,,,,,
port33,root,physical,Connect to,DEHBL1 p1 internal,33,enable,9000,,,,,,,,,,,,
port34,root,physical,Connect to,DEHBL1 p2 internal,34,enable,9000,,,,,,,,,,,,
port35,root,physical,,,35,,,down,,,,,,,,,,,
port36,root,physical,,,36,,,down,,,,,,,,,,,
port37,root,physical,Connect to,DENDS1 p7,37,enable,9000,,,,,,,,,,,,
port38,root,physical,,DENDS01 p8,38,,,down,,,,,,,,,,,
port39,root,physical,,,39,,,down,,,,,,,,,,,
port40,root,physical,Connect to,,40,enable,9000,down,,,,,,,,,,,
mgmt1,root,physical,,OOBMGT,41,,,,10.8.162.151 255.255.255.0,ping https ssh snmp fgfm,management,10.8.0.0 255.255.0.0,10.164.1.251 255.255.255.255,10.245.126.51 255.255.255.255,,,,,
mgmt2,root,physical,,HA,42,,,,,,,,,,,,,,
modem,root,physical,,,43,,,,,,,,,,pppoe,,,,
ssl.root,root,tunnel,,SSL VPN interface,46,,,,,,,,,,,,,,
ssl.DEH1DEV,DEH1DEV,tunnel,,SSL VPN interface,44,,,,,,,,,,,,,,
ssl.DEH1HSN,DEH1HSN,tunnel,,SSL VPN interface,45,,,,,,,,,,,,,,
ssl.DEH1HKATS1,DEH1HKATS1,tunnel,,SSL VPN interface,51,,,,,,,,,,,,,,
ssl.DEH1COMM,DEH1COMM,tunnel,,SSL VPN interface,52,,,,,,,,,,,,,,
ssl.DEH1MC1,DEH1MC1,tunnel,,SSL VPN interface,53,,,,,,,,,,,,,,
ssl.DEH1MC2,DEH1MC2,tunnel,,SSL VPN interface,54,,,,,,,,,,,,,,
ssl.DEH1TBP,DEH1TBP,tunnel,,SSL VPN interface,55,,,,,,,,,,,,,,
npu0_vlink0,root,physical,,,47,,,down,,,,,,,,,,,
npu0_vlink1,root,physical,,,48,,,down,,,,,,,,,,,
npu1_vlink0,root,physical,,,49,,,down,,,,,,,,,,,
npu1_vlink1,root,physical,,,50,,,down,,,,,,,,,,,
I.HKATS.3101,DEH1HSN,,,,56,,,,10.151.91.1 255.255.255.248,ping,,,,,,lan,port33,3101,
I.PTRMW.3102,DEH1HSN,,,,57,,,,10.151.91.9 255.255.255.248,ping,,,,,,lan,port33,3102,
I.HKATS.3103,DEH1HKATS1,,,,58,,,,10.151.91.17 255.255.255.248,ping,,,,,,lan,port33,3103,
I.PTRMW.3105,DEH1HKATS1,,,,60,,,,10.151.91.33 255.255.255.248,ping,,,,,,lan,port33,3105,
I.DEV.2901,DEH1DEV,,,,61,,,,10.164.206.1 255.255.255.248,ping,,,,,,lan,port33,2901,
I.HKATS.2902,DEH1DEV,,,,62,,,,10.164.206.9 255.255.255.248,ping,,,,,,lan,port33,2902,
I.PTRMW.2904,DEH1DEV,,,,64,,,,10.164.206.25 255.255.255.248,ping,,,,,,lan,port33,2904,
I.PTRMWO.1754,DEH1HKATS1,,,,65,,,,10.152.14.241 255.255.255.0,ping,,,,,,lan,port33,1754,
I.HTBP.2905,DEH1TBP,,,,68,,,,10.164.206.33 255.255.255.248,ping,,,,,,lan,port33,2905,
I.PWTBP.2907,DEH1TBP,,,,70,,,,10.164.206.49 255.255.255.248,ping,,,,,,lan,port33,2907,
I.PTRMWO.1764,DEH1TBP,,,,71,,,,10.152.14.241 255.255.255.0,ping,,,,,,lan,port33,1764,
H.HSN.100,DEH1HSN,,,,78,,,,10.10.10.1 255.255.255.248,ping,,,,,,lan,port40,100,
I.SMARTTBP.2908,DEH1TBP,,,,79,,,,10.164.206.57 255.255.255.248,ping,,,,,,lan,port33,2908,
I.SMARTS.2909,DEH1DEV,,,,80,,,,10.164.206.65 255.255.255.248,ping,,,,,,lan,port33,2909,
I.SMARTS.3106,DEH1HKATS1,,,,81,,,,10.151.91.41 255.255.255.248,ping,,,,,,lan,port33,3106,
D.CCI.3803,DEH1HKATS1,,,,73,,,,10.164.202.145 255.255.255.248,ping,,,,,,lan,port37,3803,
D.SDN2.3804,DEH1HKATS1,,,,74,,,,10.164.202.153 255.255.255.248,ping,,,,,,lan,port37,3804,
D.OTPC.3805,DEH1HKATS1,,,,75,,,,10.164.202.161 255.255.255.248,ping,,,,,,lan,port37,3805,
M.OMC.1401,DEH1MC1,,,,66,,,,10.80.1.1 255.255.255.0,ping,,,,,,lan,port1,1401,
M.OMC.1402,DEH1MC2,,,,67,,,,10.80.2.1 255.255.255.0,ping,,,,,,lan,port1,1402,
M.OMC.3801,DEH1MC1,,,,76,,,,10.164.202.129 255.255.255.248,ping,,,,,,lan,port3,3801,
M.OMC.3802,DEH1MC2,,,,77,,,,10.164.202.137 255.255.255.248,ping,,,,,,lan,port3,3802,
D.CCI.2927,DEH1DEV,,,,86,,,,10.164.206.209 255.255.255.248,ping,,,,,,lan,port37,2927,
D.SDN2.2928,DEH1DEV,,,,87,,,,10.164.206.217 255.255.255.248,ping,,,,,,lan,port37,2928,
D.OTPC.2929,DEH1DEV,,,,88,,,,10.164.206.225 255.255.255.248,ping,,,,,,lan,port37,2929,
D.CCI.2930,DEH1TBP,,,,89,,,,10.164.206.233 255.255.255.248,ping,,,,,,lan,port37,2930,
D.SDN2.2931,DEH1TBP,,,,90,,,,10.164.206.241 255.255.255.248,ping,,,,,,lan,port37,2931,
D.OTPC.2932,DEH1TBP,,,,91,,,,10.164.206.249 255.255.255.248,ping,,,,,,lan,port37,2932,
I.XHKATS.3111,DEH1HKATS1,,,,82,,,,10.151.90.86 255.255.255.248,ping,,,,,,lan,port33,3111,
I.HKATS.3107,DEH1COMM,,,,92,,,,10.151.91.49 255.255.255.248,ping,,,,,,lan,port33,3107,
I.PTRMW.3109,DEH1COMM,,,,94,,,,10.151.91.65 255.255.255.248,ping,,,,,,lan,port33,3109,
I.SMARTS.3110,DEH1COMM,,,,95,,,,10.151.91.73 255.255.255.248,ping,,,,,,lan,port33,3110,
I.XHTBP.3112,DEH1TBP,,,,83,,,,10.151.90.94 255.255.255.248,ping,,,,,,lan,port33,3112,
I.COMM.3001,DEH1COMM,,,,72,,,,10.164.201.11 255.255.255.224,ping,,,,,,lan,port33,3001,
I.XDEV.3113,DEH1DEV,,,,96,,,,10.151.90.102 255.255.255.248,ping,,,,,,lan,port33,3113,
I.HTBP.2910,DEH1COMM,,,,59,,,,10.164.206.73 255.255.255.248,ping,,,,,,lan,port33,2910,enable
I.PWTBP.2911,DEH1COMM,,,,63,,,,10.164.206.81 255.255.255.248,ping,,,,,,lan,port33,2911,enable
I.SMARTTBP.2912,DEH1COMM,,,,69,,,,10.164.206.89 255.255.255.248,ping,,,,,,lan,port33,2912,enable
I.DEV.2906,DEH1COMM,,,,84,,,,10.164.206.41 255.255.255.248,ping,,,,,,lan,port33,2906,enable
