vdom,name,uuid,subnet,visibility,type,associated-interface,start-ip,end-ip
root,none,12843286-449d-51e6-c84f-cb410e71b8dc,0.0.0.0 255.255.255.255,,,,,
root,all,129744fc-449d-51e6-5c70-e110cd939c1f,,,,,,
root,FIREWALL_AUTH_PORTAL_ADDRESS,2f7ecd28-70be-51ea-9fc8-04350eebdabb,,disable,,,,
root,SSLVPN_TUNNEL_ADDR1,12979c72-449d-51e6-534a-c383a7cba076,,,iprange,ssl.root,10.212.134.200,10.212.134.210
DEH1DEV,none,2840a9fc-7198-51ea-3892-da4b1059a91c,0.0.0.0 255.255.255.255,,,,,
DEH1DEV,SSLVPN_TUNNEL_ADDR1,28c2b8c0-7198-51ea-07b2-ef6ec4c932d3,,,iprange,ssl.DEH1DEV,10.212.134.200,10.212.134.210
DEH1DEV,all,28c2e1ba-7198-51ea-56dc-54f526142de6,,,,,,
DEH1DEV,FIREWALL_AUTH_PORTAL_ADDRESS,28c2e534-7198-51ea-f06a-ac51b1639a2a,,disable,,,,
DEH1HSN,none,37a14b2c-7198-51ea-ebef-e991f1ee8550,0.0.0.0 255.255.255.255,,,,,
DEH1HSN,SSLVPN_TUNNEL_ADDR1,38225f96-7198-51ea-555b-a96ca8c965b0,,,iprange,ssl.DEH1HSN,10.212.134.200,10.212.134.210
DEH1HSN,all,38228872-7198-51ea-bed8-c48862177936,,,,,,
DEH1HSN,FIREWALL_AUTH_PORTAL_ADDRESS,38228bba-7198-51ea-1876-8448391f1558,,disable,,,,
DEH1HKATS1,none,41820c26-7198-51ea-8d07-edba04eec411,0.0.0.0 255.255.255.255,,,,,
DEH1HKATS1,SSLVPN_TUNNEL_ADDR1,42042a62-7198-51ea-46e0-b31cbe1a4eda,,,iprange,ssl.DEH1HKATS1,10.212.134.200,10.212.134.210
DEH1HKATS1,all,4204533e-7198-51ea-8460-e1930b5ae9d8,,,,,,
DEH1HKATS1,FIREWALL_AUTH_PORTAL_ADDRESS,42045690-7198-51ea-9b6d-f1a94118d677,,disable,,,,
